Links,Claims,,,
https://thelogicalindian.com//fact-check/the-family-man-27311,LiveMint reported that season 2 of The Family Man has been cancelled after the new OTT guidelines were released,,,10-Mar-21
https://thelogicalindian.com//fact-check/badruddin-ajmal-27308,"Ahead of the Assam elections, Social media users are sharing an edited video in which AIUDF leader Badruddin Ajmal can be heard saying that he wants India to become an Islamic State",,,10-Mar-21
https://thelogicalindian.com//fact-check/gujarat-court-acquits-27307,Social media users misleadingly claim 122 Muslims acquitted by Gujarat court for alleged link with SIMI were in prison for 20 years,,,10-Mar-21
https://thelogicalindian.com//fact-check/andhra-pradesh-27290,A video of a Christian pastor from 2013 demeaning the Tirumala shrine revives as him propagating Christianity amid the rule of Andhra Pradesh's Chief Minister YS Jagan Mohan Reddy,,,9-Mar-21
https://thelogicalindian.com//fact-check/hindu-family-killed-in-pakistan-27286,A Hindu man killed his family members and himself in Pakistan,,,9-Mar-21
https://thelogicalindian.com//fact-check/west-bengal-elections-27267,An old newspaper clip of the arrest of former BJP leader Juhi Chowdhury is being shared ahead of the West Bengal Assembly Elections,,,8-Mar-21
https://thelogicalindian.com//fact-check/kerala-minister-27263,"An old poll pledge of BJP leader N Sreeprakash saying he will ensure good quality beef if he wins, is being circulated on social media ahead for upcoming Kerala state assembly elections",,,8-Mar-21
https://thelogicalindian.com//fact-check/spain-farmers-protest-27258,Social media users are sharing old images from Netherland and Germany with false claims that farmers in Spain are demanding MSP on products after getting inspired by the farmers' protest held in India,,,8-Mar-21
https://thelogicalindian.com//fact-check/narendra-modi-west-bengal-rally-27256,Two old images of the Left Front rally is viral with false claims of them being of Prime Minister Narendra Modi's rally held at Brigade ground Kolkata on March 7,,,8-Mar-21
https://thelogicalindian.com//fact-check/west-bengal-27232,"Social media users are sharing a digitally morphed image of Prime Minister Narendra Modi cycling with BJYM leader Pamela Goswami, who was arrested for having cocaine",,,6-Mar-21
https://thelogicalindian.com//fact-check/west-bengal-assembly-elections-27230,Twitteratis are sharing an old video alleging BJP workers are giving money to those attending their rally,,,6-Mar-21
https://thelogicalindian.com//fact-check/shiv-kumar-arrest-27229,Netizens are sharing posts claiming Labour Activist Shiv Kumar had no bandage on his leg while coming out of jail and he is pretending to have a leg injury to gain public attention,,,6-Mar-21
https://thelogicalindian.com//fact-check/delhis-municipal-corporation-by-election-27220,INC Chhattisgarh along with many social media users claimed that the AAP candidate who contested and lost against the Congress candidate in Delhi's Municipal Corporation by-election also forfeited his security deposit,,,5-Mar-21
https://thelogicalindian.com//fact-check/rashtriya-swam-seva-sangh-27210,Social media users are sharing an image showing RSS members saluting Queen Elizabeth with the hashtag #हम_संघी_है,,,4-Mar-21
https://thelogicalindian.com//fact-check/muslim-thrashes-hindu-27208,A video of a mentally-ill man beating another person from Sri Lanka is being shared online with a claim of a Muslim man thrashing a Hindu in India,,,4-Mar-21
https://thelogicalindian.com//fact-check/ram-nath-kovind-red-carpet-27207,A screenshot of an NDTV video has gone viral claiming that President Ram Nath Kovind was not allowed to use the red carpet on the inauguration day of Narendra Modi stadium,,,4-Mar-21
https://thelogicalindian.com//fact-check/teen-kidnapping-27184,Sudarshan News and other social media users are sharing a video of a teen with a claim that a Muslim man abducted her,,,3-Mar-21
https://thelogicalindian.com//fact-check/andhra-pradesh-27181,"In an attempt to stir communal tension, a false claim saying Christian Mafias have encroached on a Hindu shrine in Andhra Pradesh is being spread",,,3-Mar-21
https://thelogicalindian.com//fact-check/uttar-pradesh-27169,A video of Uttar Pradesh police personnel is viral on social media claiming that the man in the video is a Muslim,,,2-Mar-21
https://thelogicalindian.com//fact-check/petrol-price-27165,"BJP Spokesperson of Tamil Nadu, GS Suryah, shared a list showing petrol prices in various states",,,2-Mar-21
https://thelogicalindian.com//fact-check/essential-commodities-27164,"As the prices of food commodities have increased under the current NDA government, many right-wing ideologues are posting fake data to claim that in 2014 the prices of essential commodities were more than in 2021",,,2-Mar-21
https://thelogicalindian.com//fact-check/coronavirus-vaccine-27158,Social media users falsely claim that Supreme Court judges will be allowed to choose between Covaxin or Covishield for their coronavirus vaccine shot,,,1-Mar-21
https://thelogicalindian.com//fact-check/old-images-from-2019-shared-as-left-front-rally-picture-from-brigade-ground-kolkata-27155,An old image from 2019 is making rounds on social media to show that thousands of Left party workers and supporters attended the Left Front Rally on February 28 which was held in Brigade Parade ground in Kolkata,,,1-Mar-21
https://thelogicalindian.com//fact-check/coronavirus-lockdown-27154,A video of police thrashing common people has gone viral with a caption hinting it to be of recent Amravati lockdown,,,1-Mar-21
https://thelogicalindian.com//fact-check/kerala-muslims-27121,News of two teachers sent on leave for two days for writing 'Om' on Mathematics pamphlet is circulating on social media with a fake claim,,,27-Feb-21
https://thelogicalindian.com//fact-check/narendra-modi-stadium-27120,Netizens share a video in which people are saying that they are not being allowed to enter inside Narendra Modi stadium with the Indian national flag during India's test cricket match with England,,,27-Feb-21
https://thelogicalindian.com//fact-check/edited-image-of-petrol-bill-asking-not-to-vote-for-pm-modi-goes-viral-27119,"An edited image of a petrol bill from Vikhroli, Mumbai, is making rounds on social media",,,27-Feb-21
https://thelogicalindian.com//fact-check/kerala-cricket-27070,A newspaper clipping has gone viral with the claim that only Muslims are being selected for Kerala's cricket team,,,26-Feb-21
https://thelogicalindian.com//fact-check/media-outlets-falsely-claims-that-kashmiri-journalist-baba-umar-has-links-with-isi-and-pieter-friedrich-27069,"Media outlets like IANS and Zee News published reports sourcing Greek City Times, which falsely claimed that a Kashmiri journalist is closely linked with the ISI",,,26-Feb-21
https://thelogicalindian.com//fact-check/kuni-sikaka-arrest-27068,Old news of the arrest of tribal activist Kuni Sikaka is being shared on social media as a recent event,,,26-Feb-21
https://thelogicalindian.com//fact-check/postal-stamp-27053,Netizens are sharing a 1982 postal stamp showing two wrestlers with a claim that the picture shows a Hindu Brahmin wrestler being thrashed by a Muslim wrestler,,,25-Feb-21
https://thelogicalindian.com//fact-check/old-video-from-varanasi-shared-with-false-claims-of-a-flyover-collapsing-at-hyderabad-27051,A video shot in 2018 in Varanasi is making rounds on social media with a false claim of it showing a flyover collapsing in Hyderabad,,,25-Feb-21
https://thelogicalindian.com//fact-check/priyanka-gandhi-27040,Netizens are sharing the claim made by Republic Bharat that Priyanka Gandhi insulted the rape survivor who visited her from Rajasthan during her Kisan Mahapanchayat rally in Uttar Pradesh,,,25-Feb-21
https://thelogicalindian.com//fact-check/ingredients-of-toothpaste-27033,Netizens are sharing posts claiming stripes at the bottom of a toothpaste tube tell the ingredients of the paste,,,24-Feb-21
